newsgroup,ia_only,nb_only,both
no.ai,93,77,255
no.alkohol,279,1215,2247
no.alt.amiga,132,748,0
no.alt.arkiv,187,635,1333
no.alt.config,114,206,418
no.alt.diskusjoner,926,4722,11095
no.alt.fan.de-lillos,90,200,44
no.alt.flame,1532,5299,14607
no.alt.frustrasjoner,0,35247,0
no.alt.gledesutbrudd,929,3009,8367
no.alt.god.jul,133,215,537
no.alt.gullkorn,1,7,0
no.alt.irc-treff,171,289,728
no.alt.irctreff,0,491,0
no.alt.katter,946,1432,494
no.alt.mat,310,1245,2651
no.alt.mat.drikke,486,280,478
no.alt.motorsykler,0,42711,0
no.alt.pompel-og-pilt,183,68,299
no.alt.pompelog,0,284,0
no.alt.radio-tv.irma-1000,124,50,187
no.alt.radio_tv.irma1000,0,409,0
no.alt.sjokolade,1145,121,451
no.alt.tegneserier,249,783,1452
no.alt.troll,8,0,0
no.amiga,14400,555,2698
no.audio,971,2818,7512
no.bibsys,183,23,75
no.bil,4330,1148,5475
no.biz,79,0,0
no.biz.annonser,2613,762,2899
no.biz.annonser.data,3109,255,1053
no.biz.diskusjoner,346,185,91
no.biz.nettilbydere,1043,170,639
no.bolig,780,234,914
no.c,251,808,1755
no.ef,84,654,693
no.elektronikk,2569,999,2821
no.embnet,49,346,53
no.eunet.diverse,45,100,68
no.eunet.drift,12,188,217
no.eunet.hjelp,23,361,239
no.film,1075,4187,8274
no.folklore.edb,261,45,108
no.folklore.generelt,39,11,4
no.folklore.overtro,217,10,1
no.general,22209,22404,53984
no.havforskning,63,291,226
no.hobby.diverse,1226,86,390
no.irc,597,1694,4818
no.it.diverse,751,88,431
no.it.emacs,544,705,349
no.it.os.os2,1126,121,577
no.jus,755,1950,6048
no.kjemi,144,521,942
no.kryptografi,274,376,161
no.kultur.fritid.friluftsliv,202,0,0
no.linux,1129,3946,12344
no.lisp,158,190,314
no.litteratur,360,1071,2923
no.mac,1617,5910,16134
no.mail.diverse,152,783,1191
no.mail.drift,70,294,278
no.marked,2098,9087,17657
no.marked.bil,1257,901,692
no.marked.bolig,526,512,228
no.marked.data,11389,5350,17314
no.marked.diskusjon,168,19,57
no.marked.jobb,439,1261,2585
no.media,1845,34,89
no.medisin,1147,391,1099
no.ms-windows,4885,4148,4126
no.mswindow,0,772,0
no.multimedia,235,840,1416
no.musikk,1973,6490,21018
no.musikk.gitar,231,796,1593
no.musikk.klassisk,164,181,101
no.net,245,711,1366
no.news.diverse,846,2682,6587
no.news.drift,92,294,276
no.norsk,1091,5234,12106
no.norsk.fagord,425,60,250
no.nuug,106,65,42
no.org.decus,0,25,0
no.org.dnd,85,60,13
no.org.efn.diskusjon,251,559,775
no.org.efn.nyheter,2,0,0
no.org.isoc-no,30,9,37
no.org.nobug.diverse,67,58,61
no.org.nobug.nytt,62,0,0
no.pc,13111,7462,18081
no.perl,655,282,805
no.prat.aksjer,844,434,504
no.prat.narkotika,1683,1471,1000
no.prat.politikk,8976,594,3055
no.prat.seksualitet,2657,649,2957
no.prat.ufo,577,73,691
no.pressemeldinger,714,34,28
no.pressemeldinger.diskusjon,97,29,13
no.psykologi,826,517,1222
no.radio-tv,3976,547,3840
no.radio_tv,0,1677,0
no.reiser,178,974,1016
no.religion,10097,6662,13749
no.skole.diverse,804,98,467
no.slekt,467,3675,4535
no.slekt.etterlysning,1859,1658,1449
no.slekt.programmer,2298,108,351
no.sources.list,107,31,42
no.sources.wanted,122,91,61
no.speider,125,525,937
no.spill,1364,2859,9400
no.spill.rollespill,929,522,495
no.spill.sjakk,238,119,154
no.sport.diverse,559,2444,3855
no.sport.fotball,1699,2324,0
no.sport.orientering,329,20,43
no.sport.volleyball,352,33,124
no.standard,71,38,60
no.stortinget,238,715,1847
no.student.nett,227,150,266
no.student.samfund,194,130,107
no.svar,38,45,162
no.sykkel,2818,1128,2871
no.tegnsett,87,234,181
no.tele,2846,1341,4353
no.telepost,23,771,160
no.test,18079,613,2768
no.tex,344,31,194
no.tungregning,83,61,31
no.typografi,286,76,227
no.uninett.diverse,293,116,92
no.uninett.drift,61,39,71
no.uninett.fik,0,49,0
no.uninett.hjelp,60,54,33
no.uninett.katalog,51,23,9
no.uninett.skole,234,174,652
no.unix,1617,1198,2716
no.velkommen,114,0,0
no.video,1436,100,410
no.vit.diverse,902,122,497
no.vitser,743,3665,6820
no.vr,84,68,75
no.www,15888,591,2813
no.x,119,114,277
